Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
BUAD100154,LEC,Introduction to Business,NEWRK,3 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Bayuk,Julia Belyavsky"
BUAD100155,LEC,Introduction to Business,NEWRK,3 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Bayuk,Julia Belyavsky"
BUAD100194,LEC,Introduction to Business,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Bayuk,Julia Belyavsky"
BUAD100195,LEC,Introduction to Business,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Bayuk,Julia Belyavsky"
BUAD150194,LEC,Business Basics for Entrepreneurs,NEWRK,4 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Freeman,Daniel J"
BUAD150195,LEC,Business Basics for Entrepreneurs,NEWRK,4 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Freeman,Daniel J"
BUAD301194,LEC,Introduction to Marketing,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
BUAD301195,LEC,Introduction to Marketing,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
BUAD302010,LEC,Marketing Research,NEWRK,3 Hrs,MWF,9:00AM - 9:50AM ,Jun 7 - Jul 9,"Steinman,Ross Brandyn"
BUAD306194,LEC,Introduction to Service and Operations Management,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Murphy,Susan B"
BUAD306195,LEC,Introduction to Service and Operations Management,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Murphy,Susan B"
BUAD309010,LEC,Organizational Behavior,NEWRK,3 Hrs,T,9:45AM - 12:15PM ,Jul 12 - Aug 12,"Levandusky,Natalie Jean"
BUAD309194,LEC,Organizational Behavior,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Kernan,Mary C"
BUAD309195,LEC,Organizational Behavior,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Kernan,Mary C"
BUAD364010,INT,Business Administration in Practice,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Sleesman,Dustin"
BUAD364075,INT,Business Administration in Practice: CEA VIRTUAL INTERNSHIP,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Sundaram,Suresh"
BUAD366000,IND,Independent Study,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BUAD366000,IND,Independent Study,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BUAD384194,LEC,Global Business Environment,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Sullivan,Daniel Patrick"
BUAD384195,LEC,Global Business Environment,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Sullivan,Daniel Patrick"
BUAD386194,LEC,International Business Management,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Sullivan,Daniel Patrick"
BUAD386195,LEC,International Business Management,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Sullivan,Daniel Patrick"
BUAD423010,LEC,Negotiation and Conflict Resolution,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Sleesman,Dustin"
BUAD430040,LEC,Consulting and Project Management,NEWRK,3 Hrs,,Canceled,,
BUAD441194,LEC,Strategic Management,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Watson,Sharon R"
BUAD441195,LEC,Strategic Management,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Watson,Sharon R"
BUAD471194,LEC,Advertising and Media Management,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Bambach,Mark H"
BUAD471195,LEC,Advertising and Media Management,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Bambach,Mark H"
BUAD611196,LEC,Globalization and Business,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Sullivan,Daniel Patrick"
BUAD611197,LEC,Globalization and Business,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Sullivan,Daniel Patrick"
BUAD620050,LEC,Fundamentals of Analytics,NEWRK,3 Hrs,TR,5:30PM - 7:30PM ,Jun 7 - Jul 9,"Kher,Hemant"
BUAD620196,LEC,Fundamentals of Analytics,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Kher,Hemant"
BUAD620197,LEC,Fundamentals of Analytics,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Kher,Hemant"
BUAD625196,LEC,Business Analytics Capstone,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Swift,Caroline"
BUAD625197,LEC,Business Analytics Capstone,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Swift,Caroline"
BUAD631196,LEC,Operations Management and Management Science,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Davis,Darwin Jacob"
BUAD631197,LEC,Operations Management and Management Science,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Davis,Darwin Jacob"
BUAD640196,LEC,Ethical Issues in Domestic and Global Business Environments,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Smith,Wendy"
BUAD640197,LEC,Ethical Issues in Domestic and Global Business Environments,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Smith,Wendy"
BUAD670050,LEC,"Managing People, Teams, and Organizations",NEWRK,3 Hrs,MW,6:00PM - 9:45PM ,Jun 7 - Jul 9,"Sleesman,Dustin"
BUAD670196,LEC,"Managing People, Teams, and Organizations",NEWRK,3 Hrs,,Canceled,,
BUAD670197,LEC,"Managing People, Teams, and Organizations",NEWRK,3 Hrs,,Canceled,,
BUAD674196,LEC,Selected Topics in Management and Leadership: POS LEADERSHIP THEORY & PRACT,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Baroudi,Jack J"
BUAD674197,LEC,Selected Topics in Management and Leadership: POS LEADERSHIP THEORY & PRACT,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Baroudi,Jack J"
BUAD680196,LEC,Marketing Management,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Herzenstein,Michal"
BUAD680197,LEC,Marketing Management,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Herzenstein,Michal"
BUAD690196,LEC,Corporate Strategy,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Watson,Sharon R"
BUAD690197,LEC,Corporate Strategy,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Watson,Sharon R"
BUAD864010,INT,Internship,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,"Andrus,Sarah Baker"
BUAD864910,INT,Internship,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,"Andrus,Sarah Baker"
BUAD866000,IND,SPECIAL PROBLEM,NEWRK,1-12 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BUAD866002,IND,SPECIAL PROBLEM,NEWRK,1-12 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 23,"Baroudi,Jack J"
BUEC101010,LEC,Career Exploration and Professional Development,NEWRK,1 Hrs,T,4:00PM - 6:30PM ,Jun 7 - Jun 29,"Motta,Christine A"
BUEC101910,LEC,Career Exploration and Professional Development,NEWRK,1 Hrs,T,4:00PM - 6:30PM ,Jul 12 - Aug 3,"Motta,Christine A"
BUEC601196,DIS,Building Emotional Intelligence and Critical Thinking,NEWRK,1 Hrs,ASYN,7-week Session A 6/14-7/9,Jun 14 - Jul 9,"Baroudi,Jack J"
