Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
HDFS466000,IND,Independent Study,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,Staff
HDFS470010,LEC,Families and Children at Risk,NEWRK,3 Hrs,T,5:00PM - 8:00PM,Aug 31 - Dec 10,"Carey,Roderick LaMar"
HDFS470011,LEC,Families and Children at Risk,NEWRK,3 Hrs,TR,3:30PM - 4:45PM,Aug 31 - Dec 10,"Karpyn,Allison"
HDFS470080,LEC,Families and Children at Risk,NEWRK,3 Hrs,T,5:00PM - 8:00PM,Aug 31 - Dec 10,"Carey,Roderick LaMar"
HDFS601010,LEC,Theories of Human Development,NEWRK,3 Hrs,T,3:30PM - 6:15PM,Aug 31 - Dec 10,"Settles,Barbara H."
HDFS606011,LEC,Early Child Literacy Skill Dev,NEWRK,3 Hrs,W,5:00PM - 8:00PM,Aug 31 - Dec 10,"Skrobot,Christine Renee"
HDFS609010,LEC,Domestic Violence Services,NEWRK,3 Hrs,W,5:00PM - 8:00PM,Aug 31 - Dec 10,"Fleury,Ruth E"
HDFS609010,LEC,Domestic Violence Services,NEWRK,3 Hrs,W,5:00PM - 8:00PM,Aug 31 - Dec 10,"Fleury,Ruth E"
HDFS615010,LEC,Research Methods,NEWRK,3 Hrs,M,2:30PM - 5:30PM,Aug 31 - Dec 10,"Hustedt PhD,Jason"
HDFS621010,LEC,Family Studies I: Empirical and Theoretical Perspectives,NEWRK,3 Hrs,W,2:00PM - 5:00PM,Aug 31 - Dec 10,"Hallam,Rena Ann"
HDFS627010,DIS,Parenting Through the Lifespan,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Worden,Lynn J"
HDFS641011,LEC,"Infants, Toddlers and Families: Development and Programming",NEWRK,3 Hrs,R,5:00PM - 8:00PM,Aug 31 - Dec 10,"Buell,Martha J."
HDFS660010,LEC,Child Development,NEWRK,3 Hrs,M,5:00PM - 8:00PM,Aug 31 - Dec 10,"Barnes,Tia Navelene"
HDFS662010,LEC,"Early Childhood History, Curriculum, Instruction and Assessment",NEWRK,3 Hrs,T,4:00PM - 7:00PM,Aug 31 - Dec 10,"Gallo-Fox,Jennifer"
HDFS666000,IND,Special Problem,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,Staff
HDFS667011,LEC,SEMINAR: GRADUATE SEMINAR,NEWRK,1 Hrs,M,12:20PM - 1:10PM,Aug 31 - Dec 10,"Sherif-Trask,Bahira"
HDFS866000,IND,SPECIAL PROBLEM,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,Staff
HDFS866002,IND,SPECIAL PROBLEM,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,"Eidelman,Steven M"
HDFS867010,LEC,SEMINAR: EARLY CARE AND EDUCATION POLIC,NEWRK,3 Hrs,R,5:00PM - 8:00PM,Aug 31 - Dec 10,"Whitaker,Anamarie"
HDFS867011,LEC,SEMINAR: GRANT WRITING SEMINAR,NEWRK,3 Hrs,T,2:00PM - 5:00PM,Aug 31 - Dec 10,"Earnshaw,Valerie A"
HDFS867012,LEC,SEMINAR: SHARING LEARNING SCIENCE,NEWRK,3 Hrs,R,5:00PM - 8:00PM,Aug 31 - Dec 10,"Golinkoff,Roberta M"
HDFS869000,IND,Master's Thesis,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,Staff
HDFS964000,IND,Pre-Candidacy Study,NEWRK,3-12 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,Staff
HDFS969000,IND,Doctoral Dissertation,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,Staff
HEBR105010,LEC,Hebrew I - Elementary,NEWRK,4 Hrs,MW ,1:25PM - 2:15PM ,Aug 31 - Dec 10 ,"Gutman,Eynat Friedman"
HEBR107010,LEC,Hebrew III - Intermediate,NEWRK,4 Hrs,MW ,2:30PM - 3:20PM ,Aug 31 - Dec 10 ,"Gutman,Eynat Friedman"
HIST101010,LEC,Europe and the World to 1648,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Zavadivker PhD,Polly"
HIST101070,LEC,Europe and the World to 1648,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Toole,Ruth A"
HIST101071,LEC,Europe and the World to 1648,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Toole,Ruth A"
HIST101072,LEC,Europe and the World to 1648,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Toole,Ruth A"
