Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
BUAD430010,LEC,Consulting and Project Management,NEWRK,3 Hrs,MWF,10:00AM - 11:45AM,Jan 3 - Feb 4,"Bullough,Amanda"
BUAD441010,LEC,Strategic Management,NEWRK,3 Hrs,MTWRF,2:00PM - 3:45PM,Jan 3 - Feb 4,"Leipold,Dianne Patricia Kronenb"
BUAD441194,LEC,Strategic Management,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Watson,Sharon R"
BUAD441195,LEC,Strategic Management,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Watson,Sharon R"
BUAD467061,LEC,SEMINAR: ROLE OF RACE IN BUSINESS,NEWRK,3 Hrs,MTWR,12:45PM - 3:30PM,Jan 11 - Feb 4,"Joe,Jennifer R"
BUAD471194,LEC,Advertising and Media Management,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BUAD471195,LEC,Advertising and Media Management,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BUAD611196,LEC,Globalization and Business,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Sullivan,Daniel Patrick"
BUAD611197,LEC,Globalization and Business,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Sullivan,Daniel Patrick"
BUAD664010,INT,Internship,NEWRK,1-3 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,"Andrus,Sarah Baker"
BUAD667061,LEC,SEMINAR: ROLE OF RACE IN BUSINESS,NEWRK,3 Hrs,MTWR,12:45PM - 3:30PM,Jan 11 - Feb 4,"Joe,Jennifer R"
BUAD674196,LEC,Selected Topics in Management and Leadership: POS LEADERSHIP THEORY & PRACT,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Baroudi,Jack J"
BUAD674197,LEC,Selected Topics in Management and Leadership: POS LEADERSHIP THEORY & PRACT,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Baroudi,Jack J"
BUAD677050,LEC,Skills for Change Agents,NEWRK,3 Hrs,M,6:00PM - 9:00PM,Jan 3 - Feb 4,"Townsend,Gail Joy Sacconey"
